投资部长
合不拢嘴	l,d
#卧虎藏龙	n,movie
苹果	n,nt,fruit,corp
的	stopword
海量中文分词系统	nz	idf-lv5
拼多多	nz	idf-lv4
aboard	stopword
about	stopword
above	stopword
according	stopword
according to	stopword
across	stopword
afore	stopword
after	stopword
afterwards	stopword
again	stopword
against	stopword
agin	stopword
all	stopword
almost	stopword
alone	stopword
along	stopword
alongside	stopword
already	stopword
also	stopword
although	stopword
always	stopword
am	stopword
amid	stopword
amidst	stopword
among	stopword
amongst	stopword
amoungst	stopword
amount	stopword
an	stopword
and	stopword
anent	stopword
another	stopword
any	stopword
anyhow	stopword
anyone	stopword
anything	stopword
anyway	stopword
anywhere	stopword
approximately	stopword
are	stopword
around	stopword
as	stopword
asked	stopword
aslant	stopword
astride	stopword
at	stopword
athwart	stopword
back	stopword
bar	stopword
be	stopword
became	stopword
because	stopword
because of	stopword
become	stopword
becomes	stopword
becoming	stopword
been	stopword
before	stopword
beforehand	stopword
behind	stopword
being	stopword
below	stopword
beneath	stopword
beside	stopword
besides	stopword
between	stopword
betwixt	stopword
beyond	stopword
bill	stopword
both	stopword
bottom	stopword
but	stopword
by	stopword
call	stopword
called	stopword
can	stopword
cannot	stopword
cant	stopword
circa	stopword
co	stopword
computer	stopword
con	stopword
could	stopword
couldnt	stopword
cry	stopword
currently	stopword
dare	stopword
de	stopword
describe	stopword
despite	stopword
detail	stopword
did	stopword
do	stopword
does	stopword
done	stopword
down	stopword
dr	stopword
due	stopword
due to	stopword
during	stopword
e.g.,	stopword
each	stopword
earlier	stopword
eg	stopword
eight	stopword
either	stopword
eleven	stopword
else	stopword
elsewhere	stopword
empty	stopword
enough	stopword
ere	stopword
etc	stopword
even	stopword
eventually	stopword
ever	stopword
every	stopword
everyone	stopword
everything	stopword
everywhere	stopword
except	stopword
few	stopword
fifteen	stopword
fify	stopword
fill	stopword
find	stopword
fire	stopword
first	stopword
five	stopword
for	stopword
former	stopword
formerly	stopword
forty	stopword
found	stopword
four	stopword
from	stopword
front	stopword
full	stopword
further	stopword
get	stopword
give	stopword
go	stopword
had	stopword
has	stopword
hasnt	stopword
have	stopword
he	stopword
hence	stopword
her	stopword
here	stopword
hereafter	stopword
hereby	stopword
herein	stopword
hereupon	stopword
hers	stopword
herself	stopword
him	stopword
himself	stopword
his	stopword
how	stopword
however	stopword
hundred	stopword
i	stopword
ie	stopword
if	stopword
in	stopword
inc	stopword
indeed	stopword
inside	stopword
instead	stopword
interest	stopword
into	stopword
is	stopword
it	stopword
its	stopword
itself	stopword
just	stopword
keep	stopword
last	stopword
latter	stopword
latterly	stopword
least	stopword
less	stopword
like	stopword
ltd	stopword
made	stopword
major	stopword
many	stopword
may	stopword
maybe	stopword
me	stopword
meanwhile	stopword
mid	stopword
midst	stopword
might	stopword
mill	stopword
mine	stopword
minus	stopword
more	stopword
moreover	stopword
most	stopword
mostly	stopword
move	stopword
mr	stopword
mrs	stopword
ms	stopword
much	stopword
must	stopword
my	stopword
myself	stopword
name	stopword
namely	stopword
nbsp	stopword
near	stopword
need	stopword
neither	stopword
net	stopword
never	stopword
nevertheless	stopword
next	stopword
nigh	stopword
nigher	stopword
nighest	stopword
nine	stopword
no	stopword
nobody	stopword
none	stopword
noone	stopword
nor	stopword
not	stopword
nothing	stopword
notwithstanding	stopword
now	stopword
nowhere	stopword
of	stopword
off	stopword
often	stopword
on	stopword
on to	stopword
once	stopword
one	stopword
only	stopword
onto	stopword
or	stopword
other	stopword
others	stopword
otherwise	stopword
ought	stopword
our	stopword
ours	stopword
ourselves	stopword
out	stopword
out of	stopword
outside	stopword
over	stopword
own	stopword
part	stopword
partly	stopword
past	stopword
pending	stopword
per	stopword
perhaps	stopword
please	stopword
plus	stopword
prior	stopword
put	stopword
qua	stopword
rather	stopword
re	stopword
regarding	stopword
round	stopword
same	stopword
sans	stopword
save	stopword
see	stopword
seem	stopword
seemed	stopword
seeming	stopword
seems	stopword
separately	stopword
serious	stopword
seven	stopword
several	stopword
shall	stopword
she	stopword
should	stopword
show	stopword
side	stopword
similarly	stopword
since	stopword
sincere	stopword
six	stopword
sixty	stopword
so	stopword
some	stopword
somehow	stopword
someone	stopword
something	stopword
sometime	stopword
sometimes	stopword
somewhere	stopword
still	stopword
such	stopword
system	stopword
take	stopword
ten	stopword
than	stopword
that	stopword
the	stopword
their	stopword
theirs	stopword
them	stopword
themselves	stopword
then	stopword
thence	stopword
there	stopword
thereafter	stopword
thereby	stopword
therefore	stopword
therein	stopword
thereupon	stopword
these	stopword
they	stopword
thick	stopword
thin	stopword
third	stopword
this	stopword
those	stopword
though	stopword
three	stopword
through	stopword
throughout	stopword
thru	stopword
thus	stopword
till	stopword
to	stopword
together	stopword
too	stopword
top	stopword
toward	stopword
towards	stopword
twelve	stopword
twenty	stopword
two	stopword
un	stopword
under	stopword
underneath	stopword
unless	stopword
unlike	stopword
until	stopword
unto	stopword
up	stopword
upon	stopword
us	stopword
versus	stopword
very	stopword
via	stopword
vice	stopword
volume	stopword
was	stopword
we	stopword
well	stopword
were	stopword
what	stopword
whatever	stopword
whats	stopword
when	stopword
whence	stopword
whenever	stopword
where	stopword
whereafter	stopword
whereas	stopword
whereby	stopword
wherein	stopword
whereupon	stopword
wherever	stopword
whether	stopword
which	stopword
while	stopword
whither	stopword
who	stopword
whoever	stopword
whole	stopword
whom	stopword
whose	stopword
why	stopword
will	stopword
with	stopword
within	stopword
without	stopword
would	stopword
yesterday	stopword
yet	stopword
you	stopword
your	stopword
yours	stopword
yourself	stopword
yourselves	stopword
阿	stopword
啊	stopword
哎	stopword
哎呀	stopword
哎哟	stopword
唉	stopword
嗳	stopword
俺	stopword
俺们	stopword
巴	stopword
巴巴	stopword
罢了	stopword
吧	stopword
吧哒	stopword
般的	stopword
被	stopword
呗	stopword
本	stopword
本着	stopword
比	stopword
比及	stopword
比如	stopword
彼	stopword
彼此	stopword
彼时	stopword
鄙人	stopword
边	stopword
别	stopword
别处	stopword
别的	stopword
别管	stopword
别是	stopword
别说	stopword
并	stopword
并非	stopword
并且	stopword
不	stopword
不比	stopword
不成	stopword
不单	stopword
不但	stopword
不得	stopword
不独	stopword
不妨	stopword
不管	stopword
不光	stopword
不过	stopword
不仅	stopword
不尽	stopword
不尽然	stopword
不拘	stopword
不料	stopword
不论	stopword
不怕	stopword
不然	stopword
不如	stopword
不若	stopword
不是	stopword
不特	stopword
不外乎	stopword
不惟	stopword
不问	stopword
不只	stopword
不至于	stopword
才	stopword
才能	stopword
曾	stopword
诚然	stopword
诚如	stopword
乘	stopword
冲	stopword
出来	stopword
出于	stopword
除	stopword
除此之外	stopword
除非	stopword
除开	stopword
除了	stopword
除外	stopword
处在	stopword
此	stopword
此处	stopword
此次	stopword
此地	stopword
此间	stopword
此时	stopword
此外	stopword
从	stopword
从此	stopword
从而	stopword
啐	stopword
打	stopword
打从	stopword
大	stopword
待	stopword
但	stopword
但凡	stopword
但是	stopword
当	stopword
当地	stopword
当然	stopword
当着	stopword
到	stopword
得	stopword
得了	stopword
的	stopword
的话	stopword
的确	stopword
等	stopword
等到	stopword
等等	stopword
地	stopword
第	stopword
叮咚	stopword
咚	stopword
都	stopword
对	stopword
对比	stopword
对待	stopword
对方	stopword
对于	stopword
多	stopword
多么	stopword
多少	stopword
呃	stopword
嗯	stopword
儿	stopword
而	stopword
而后	stopword
而况	stopword
而且	stopword
而是	stopword
而外	stopword
而言	stopword
而已	stopword
尔	stopword
尔尔	stopword
尔后	stopword
二来	stopword
凡	stopword
凡是	stopword
反而	stopword
反过来	stopword
反过来说	stopword
反之	stopword
非但	stopword
非独	stopword
非特	stopword
非徒	stopword
分别	stopword
否则	stopword
嘎	stopword
嘎登	stopword
该	stopword
赶	stopword
个	stopword
个别	stopword
各	stopword
各个	stopword
各位	stopword
各种	stopword
给	stopword
跟	stopword
固然	stopword
故	stopword
故此	stopword
故而	stopword
关于	stopword
管	stopword
光是	stopword
归	stopword
归齐	stopword
果然	stopword
果真	stopword
过	stopword
哈	stopword
哈哈	stopword
还	stopword
还是	stopword
还要	stopword
还有	stopword
好	stopword
呵	stopword
呵呵	stopword
嗬	stopword
何	stopword
何处	stopword
何况	stopword
何时	stopword
何以	stopword
和	stopword
嘿	stopword
嘿嘿	stopword
很	stopword
哼	stopword
哼唷	stopword
后	stopword
后者	stopword
乎	stopword
呼哧	stopword
哗	stopword
换句话说	stopword
换言之	stopword
或	stopword
或是	stopword
或曰	stopword
或则	stopword
或者	stopword
基于	stopword
及	stopword
及其	stopword
及至	stopword
极了	stopword
即	stopword
即便	stopword
即或	stopword
即令	stopword
即如	stopword
即若	stopword
即使	stopword
几	stopword
几时	stopword
己	stopword
既	stopword
既然	stopword
既是	stopword
既往	stopword
继而	stopword
继后	stopword
继之	stopword
加以	stopword
加之	stopword
假如	stopword
假若	stopword
假使	stopword
兼之	stopword
简言之	stopword
鉴于	stopword
将	stopword
叫	stopword
较	stopword
较之	stopword
接着	stopword
结果	stopword
截至	stopword
介于	stopword
借	stopword
今	stopword
紧接着	stopword
尽	stopword
